edad,ingresos,gastos_fijos,gastos_variables,num_hobbies,creditos_activos,antiguedad_laboral,tomara_credito
18,2300000,1123040,616019,3,4,0,0
56,10050000,5882109,1283041,6,6,2,0
55,6800000,3487054,1733096,2,0,14,1
55,4400000,2405570,541819,7,2,3,1
49,6550000,1608952,1165981,3,4,26,0
40,11600000,5718398,3476774,8,4,15,0
51,10400000,3910768,1440588,2,4,10,0
31,10100000,4254539,1321006,4,3,0,0
55,5950000,2746763,1098132,6,4,14,1
44,9550000,5614693,2138566,0,4,4,0
40,5100000,3028539,1461558,8,0,30,0
42,8450000,2664211,2502587,3,5,9,0
45,7950000,3923336,905728,4,3,14,0
19,3550000,1774976,452978,5,0,0,0
24,3750000,1269739,968053,5,2,4,1
29,1450000,361844,223483,0,3,6,0
23,2350000,508490,650879,7,0,1,0
39,5650000,2886795,1314702,5,6,22,0
50,6150000,2434661,752569,8,1,29,1
49,2600000,1544961,692915,4,2,30,0
40,5450000,2103642,737228,5,3,8,0
59,7550000,4463309,1394478,3,5,24,0
45,3400000,1239743,715485,8,5,15,1
21,4550000,2354501,910697,7,5,1,0
54,4900000,1146245,1162439,8,1,2,1
45,6450000,2723091,1486965,4,5,16,1
48,4900000,2552037,1462201,7,5,13,0
45,9050000,5157420,2713953,3,3,0,0
44,4450000,2354197,904648,4,3,28,0
22,5650000,1213553,672574,6,0,22,1
44,5000000,1745404,1227843,0,5,15,1
56,2800000,614542,826931,6,6,30,1
32,8450000,2059374,1382971,0,3,30,0
46,3400000,1598415,653622,5,3,30,0
19,4100000,1989743,758317,4,3,8,1
34,9650000,4916561,1064238,4,0,27,1
38,11400000,6226481,2672762,4,4,15,1
65,8300000,4114912,1416540,4,5,22,0
28,11050000,5749852,2845295,3,6,26,0
31,10350000,2272709,2757488,4,6,5,0
37,6150000,1806956,1625113,5,3,13,1
65,9400000,4218335,1723332,6,6,3,0
58,4450000,2417463,731175,4,3,8,0
19,5950000,1200710,1486096,5,4,12,0
29,6750000,2739499,1756875,7,4,26,0
57,11550000,5439067,2289804,8,6,26,1
20,10300000,2181982,2869643,0,5,12,0
59,6250000,2253388,804885,6,0,10,1
31,8100000,4521857,2234091,2,0,16,1
62,3050000,1429367,363618,1,2,28,1
32,9800000,2891620,1280910,7,3,30,0
38,6950000,3760731,1437037,0,4,7,0
49,6750000,2289684,766149,7,3,5,0
24,9350000,5061509,1033749,6,3,21,0
44,7850000,2508683,785814,8,6,9,0
42,1600000,697804,299621,6,2,6,1
55,4000000,1435104,1019699,7,3,0,0
65,2750000,852307,294161,1,3,12,0
49,9000000,4991607,2074063,8,3,12,0
37,1150000,316293,304319,1,6,17,0
37,3050000,713470,407480,2,6,6,0
38,7450000,2508942,963826,1,3,22,0
57,8550000,4164325,2326969,3,3,21,1
33,6400000,3347024,1693599,6,4,14,0
26,10400000,6234772,2160998,2,1,5,1
34,11050000,3519920,2915431,7,2,15,0
19,2250000,817147,266740,5,1,20,1
23,11450000,2916641,2048362,5,1,11,0
22,7650000,3289108,1893830,8,0,8,1
55,7900000,4732352,1196774,3,4,15,0
52,1850000,888651,463361,3,0,11,0
51,7750000,3395159,1556476,8,4,12,0
40,8900000,3176833,2225473,5,3,10,0
52,7300000,4132672,1408432,5,2,9,0
25,1700000,677903,295087,2,5,22,0
61,6650000,1687415,956521,1,3,14,0
42,11250000,3894203,1593853,1,5,14,0
63,8900000,2019113,2227653,2,4,20,0
25,2300000,645820,284698,1,0,11,1
41,11550000,2391629,1353619,6,1,3,1
51,11500000,4385087,1555470,0,3,26,0
41,2650000,1202612,357933,5,6,1,0
39,9750000,3288840,2580059,8,1,17,1
25,5350000,1969616,961402,6,0,8,1
36,7400000,4319259,2205774,3,6,6,0
29,5750000,2879515,732792,0,6,1,0
32,9550000,3976072,2203261,7,1,27,1
50,11950000,3750105,2267463,0,2,13,1
48,9700000,5420347,1732261,6,4,10,0
47,11200000,3293235,3080188,6,1,22,1
35,11350000,3747055,3349602,1,2,1,0
64,1800000,1014526,494229,6,2,17,1
22,3600000,1482540,498456,1,4,15,0
34,8850000,4397805,1275812,2,2,17,0
23,7400000,3228604,1710989,7,2,3,1
34,1350000,622857,213052,8,2,29,1
64,1850000,591543,456848,2,5,7,0
35,6600000,1957222,1407675,8,1,21,1
61,7700000,2533276,1618399,8,1,23,1
41,2650000,694768,704129,6,1,10,1
51,2700000,1484259,653687,1,6,4,0
39,2200000,689257,231694,2,6,9,0
30,7100000,3014629,780231,6,3,25,0
54,850000,439271,187264,8,1,28,1
64,7200000,3697413,1420116,7,5,29,1
30,6100000,2289662,927425,3,3,7,0
55,6000000,2343017,1102387,2,5,18,0
30,8400000,5022197,2113289,8,2,4,1
52,6650000,3124429,1764393,2,6,22,0
55,8950000,4706405,1899589,3,5,12,1
39,9350000,5245551,1655640,8,1,22,1
53,11100000,5716898,1710946,5,5,21,0
31,9750000,2672199,1992741,2,2,30,1
21,6550000,2782887,1067322,0,2,15,1
22,6300000,1516773,1340759,3,1,10,1
39,3400000,1567974,800123,8,4,16,0
61,7500000,4366048,849118,3,1,5,1
24,2350000,951968,235501,6,4,3,0
39,11200000,4179716,1595500,2,4,16,0
51,10250000,2196955,2858748,6,5,25,0
27,2100000,1226210,481442,6,6,16,0
52,9600000,2315530,1290163,5,0,24,1
32,2100000,454506,583910,6,6,5,1
56,8850000,2641075,1716822,5,0,13,0
45,1750000,395871,341632,3,3,19,0
44,6250000,2387794,1794427,6,2,10,1
26,8150000,3312446,911963,7,4,0,0
40,8950000,2909000,1280169,7,5,2,0
59,5450000,1201093,1183490,1,6,28,0
18,11100000,2715505,1543980,6,2,18,0
54,9450000,3343426,2229306,0,6,8,0
41,3100000,695055,442737,5,2,8,1
52,8300000,3977989,994600,5,1,1,0
49,8950000,2531133,1265503,3,2,29,1
38,4500000,1443728,830460,8,3,3,0
32,9050000,3236735,1223810,7,4,23,1
48,10850000,3978085,1377281,0,5,7,0
24,9950000,1996609,2706960,1,1,10,1
46,9300000,2276901,1525938,1,2,8,1
22,7900000,4306336,1359998,8,6,25,1
49,3800000,761874,422005,4,3,1,0
48,9700000,3911689,1663297,6,1,10,1
22,4850000,1919633,741862,7,6,8,0
54,6750000,2249354,1499154,6,3,8,0
37,4300000,1601882,606635,0,6,5,0
55,4300000,2202599,1193994,1,6,28,0
19,2550000,1368027,729129,3,6,11,0
26,11550000,3512810,1385609,3,4,12,1
41,2450000,806040,297627,6,5,11,0
27,1750000,519737,215364,1,6,30,0
33,11250000,4409385,2519030,3,1,10,1
49,7000000,3313123,870756,2,0,10,1
24,5700000,1660416,1541715,1,2,10,0
50,9050000,3007263,2270231,1,4,10,0
22,5050000,2889376,1333006,1,3,2,0
26,2200000,482740,451466,5,0,18,1
46,8950000,3439555,2679052,3,3,0,0
56,2750000,1332713,299296,3,1,7,1
26,6950000,1808262,1252758,4,3,6,0
32,11400000,2496025,1878575,6,4,9,1
62,11250000,2871924,3259452,7,4,23,1
65,4800000,2724140,1033786,4,2,18,1
45,9500000,1935187,2481762,5,2,30,1
39,7650000,2106265,1025622,6,4,10,1
34,6150000,1306957,1818719,6,5,28,0
47,2350000,573991,469360,1,5,1,0
46,5000000,2240298,993672,8,2,15,1
32,8100000,2402910,2382833,1,2,24,1
19,11850000,5068065,2087335,3,2,16,1
25,850000,370666,152579,5,3,28,0
64,8800000,4750012,1909164,3,0,9,1
38,10250000,2069439,1287507,2,3,1,0
41,11450000,6198432,1880286,8,1,23,1
40,5500000,2462061,762529,0,3,2,0
55,2100000,556704,253379,2,5,23,0
21,3800000,1934864,1038269,8,6,22,0
21,10300000,5584625,2244022,6,3,26,0
31,10600000,3198077,1820386,0,0,14,1
41,7900000,4483388,1435697,6,1,27,1
50,2150000,820833,400553,8,0,5,1
41,2150000,948945,487254,0,5,13,1
39,6150000,3652237,1754926,3,6,3,0
63,7350000,2532916,2106186,4,3,23,0
25,1150000,604053,205043,1,1,22,1
45,8450000,2766189,1401453,1,0,24,1
44,6850000,3559845,1302933,1,6,23,1
40,900000,396264,192228,1,2,9,1
56,1850000,530103,355872,3,0,2,1
30,5850000,2138821,1355741,4,1,28,1
63,8850000,2894430,1866286,2,1,15,1
33,10000000,2312433,1641431,2,4,2,0
44,5600000,1186829,947218,1,6,28,0
42,4100000,1388224,720446,7,1,30,1
58,11600000,2408318,1379564,1,4,13,0
39,5900000,1570551,785953,8,0,23,1
31,4300000,2107315,1051877,4,0,1,0
19,5750000,2778609,1022461,7,0,2,1
35,900000,445888,128617,5,6,8,0
57,4150000,1356474,882018,2,4,20,0
18,6550000,3641850,1644756,5,5,4,0
61,11050000,4834731,1673903,2,0,1,0
44,9050000,2266215,2401489,1,0,20,1
24,9550000,2459005,2726534,2,5,23,0
32,6900000,3292943,1514404,2,0,22,0
44,2000000,538355,467579,1,1,24,1
33,5150000,2075022,569153,0,3,24,0
23,11950000,7130681,3454792,8,4,18,1
49,1250000,252003,223121,4,1,16,1
50,10600000,2190298,3018668,3,3,26,0
23,8450000,5046625,1823472,8,4,10,0
31,3950000,1713729,398648,2,3,3,0
29,9500000,2382257,1023229,3,2,23,1
49,10150000,5673046,2396250,7,0,8,1
53,1250000,690190,265667,5,3,30,1
52,1950000,808236,205347,3,5,12,1
63,8250000,3701913,2051708,2,4,26,0
54,11950000,3695834,3231627,0,6,1,0
33,1050000,231218,209247,0,0,20,0
23,8250000,3612073,1593499,1,0,13,1
47,2300000,731174,232517,7,3,14,0
61,8050000,3746859,2071506,5,1,8,1
64,7750000,4142360,1287609,3,4,30,0
29,1800000,373075,496354,7,6,12,0
29,8400000,3681598,1466741,1,2,26,1
19,10800000,3159131,2300568,1,3,13,0
24,10450000,5742853,1610014,3,4,1,1
44,1100000,331612,145329,8,1,27,1
44,3550000,1577293,905184,5,6,5,1
35,3450000,1453886,687647,7,1,8,1
32,5850000,2097029,1212690,2,5,26,1
57,2400000,1130515,703399,7,4,27,0
40,10350000,5074686,3029610,0,0,28,0
56,9450000,4033024,2562163,2,5,13,0
64,9850000,4958183,1354590,4,1,23,1
33,3000000,1780100,656563,0,4,10,0
27,950000,349323,261848,7,6,22,0
63,10950000,4443873,1915076,7,6,15,0
48,4000000,819951,480884,4,6,1,0
31,8150000,4225053,2136869,2,3,12,0
47,10950000,4468607,2150062,0,3,14,0
42,1200000,435821,255454,5,2,7,0
61,850000,201984,251964,4,6,11,0
30,850000,472483,188225,6,3,15,0
65,2550000,912907,471739,5,5,1,1
62,1350000,638594,234895,1,2,4,1
26,9950000,2584509,1826062,1,5,23,0
25,7550000,4413879,933782,7,1,10,1
43,11750000,3188676,3042663,1,5,18,0
20,9750000,2728213,2608547,8,0,17,1
32,11550000,6278500,1811957,0,0,17,1
38,3450000,1949364,554619,6,2,12,1
64,4000000,1139435,1099467,8,3,14,1
65,10300000,3995579,1079378,3,4,25,1
25,3500000,1726892,714320,0,2,29,1
60,1400000,771884,269829,7,0,7,1
22,8250000,2900873,1963709,1,2,20,1
53,9750000,3966375,1293613,4,3,30,0
58,11600000,5761564,2710527,8,3,0,0
60,11150000,5490866,1955116,6,4,24,0
28,2100000,1077686,469860,0,1,15,1
60,9400000,4022951,1015378,7,4,29,0
23,10250000,2478921,1971540,1,4,17,0
42,8600000,4829668,1758271,6,5,25,0
40,9950000,5434978,1421509,5,3,5,0
33,10150000,5270275,1298436,2,5,4,0
19,5800000,1391680,798630,3,1,28,1
55,1200000,338110,202593,1,4,16,0
34,5900000,2934896,704235,8,0,17,1
49,3050000,638230,882865,2,0,5,1
37,2050000,1212964,371047,2,6,7,0
35,2150000,754344,562856,4,3,25,0
60,8600000,4194435,2535997,6,4,9,0
22,6450000,3579933,749148,4,4,18,0
53,6800000,2433393,1566270,4,4,9,0
53,9100000,2981642,2495964,5,1,8,1
36,6900000,3060125,1565243,7,1,5,1
30,7850000,3394306,1458571,3,0,28,1
18,1750000,636397,325876,7,6,29,1
62,10300000,4539311,1103951,7,1,3,1
63,5800000,3330084,1200136,8,4,10,0
29,2500000,967640,746771,8,3,17,0
19,9900000,2759099,2888240,7,1,11,1
23,9000000,3157941,972718,2,2,22,1
21,1350000,482817,325565,6,0,8,1
57,2950000,744708,473041,6,1,1,0
60,950000,251891,266567,2,0,10,1
25,3800000,1800534,414287,6,5,18,0
53,1900000,638003,545632,2,3,5,0
26,8750000,5092144,2340582,4,6,25,0
35,6650000,1977967,821280,7,3,0,0
46,11750000,2814945,1315587,1,1,2,1
52,9150000,4587826,2442515,3,4,15,0
59,7600000,4198349,996751,7,6,15,0
20,6500000,2023094,1345367,4,3,9,0
27,1400000,393169,396408,8,0,8,1
31,1550000,425175,330908,0,2,2,1
32,7700000,3147797,1381739,6,6,20,0
65,800000,309893,151202,7,3,11,0
55,1250000,379719,140779,8,6,3,0
33,3250000,708725,954689,1,3,12,0
64,10700000,4200782,1734799,8,0,29,1
41,5900000,3444024,813448,3,6,8,0
42,8700000,4010766,1367722,3,5,27,0
38,5400000,2150294,1581523,3,5,8,0
24,2700000,659547,320914,5,6,5,0
62,4950000,1489823,1353630,5,1,8,0
18,1800000,572237,434823,4,6,10,0
26,9400000,4755661,2500436,0,1,3,1
29,2850000,1569450,841261,8,6,18,0
31,5000000,2803283,1342154,1,1,10,1
24,11750000,6977472,3391948,0,3,22,0
18,7400000,4387805,927864,5,5,15,0
50,5900000,3429077,1529030,3,0,13,1
64,6850000,1566792,1432575,5,0,14,1
23,9550000,2436371,1993076,7,5,4,1
32,3650000,1174521,1021212,0,0,22,1
42,7900000,3327158,2325450,2,4,3,0
62,10550000,2519246,2542208,4,6,22,0
51,7200000,3875895,1415431,7,4,30,0
54,5800000,2590874,1109428,5,3,23,0
45,2400000,1000669,425443,3,2,14,1
38,3550000,944742,611735,5,4,9,0
27,11350000,3419779,2023720,8,4,27,0
59,6850000,1809254,807961,4,3,7,0
56,4150000,2244209,479271,7,1,14,1
19,5450000,2363616,1395058,7,4,23,0
52,7250000,3581875,1371805,2,5,28,0
22,6800000,2165209,1945730,2,4,28,0
53,8600000,2997109,1913020,6,0,2,1
57,3650000,1321088,390678,1,4,27,0
24,8050000,4057248,1058612,3,5,3,0
38,5750000,2926411,811692,2,1,18,1
23,11300000,3194797,3335163,5,5,28,0
45,2550000,1470369,366539,2,3,20,0
62,2450000,608242,497720,5,3,29,0
21,5950000,3322770,1709050,8,5,10,0
37,6450000,1549020,1905578,7,3,9,0
64,8500000,2599435,1251812,8,3,10,0
32,5300000,2854534,582064,0,2,11,1
24,11000000,2989765,1437924,4,6,21,0
41,6100000,2229105,687260,1,6,14,0
42,2200000,835876,305854,8,0,22,1
49,2100000,626017,448799,6,5,12,0
33,11700000,5663947,3305130,2,0,9,1
63,2300000,1243227,477120,5,2,5,0
43,11400000,6268062,2567256,5,6,17,0
31,3900000,1309342,547456,4,1,27,1
64,1800000,742212,468210,4,2,26,1
62,4200000,1257322,938942,0,1,7,1
41,7650000,2279077,2087129,4,5,14,0
19,5550000,1467984,1608215,3,3,21,0
46,9550000,5500872,1619490,7,4,18,0
44,7600000,4219486,897680,7,6,2,0
25,5250000,2682453,762225,6,3,18,0
48,7900000,3215810,1481789,0,5,1,0
58,11650000,4616232,3368466,7,0,3,1
23,5400000,2224250,948574,3,1,20,1
52,2500000,1036568,635386,3,6,3,0
24,5350000,1999965,1113310,8,6,10,0
53,10200000,2577559,1392929,7,4,18,0
38,3200000,800849,525269,0,2,20,0
18,11400000,6622258,2629277,3,1,13,1
64,7350000,2887170,1724094,6,5,2,0
25,7500000,4359616,1402139,4,5,24,0
46,4350000,1154623,633921,2,1,29,1
26,11100000,4681609,2712633,4,4,27,1
62,1200000,339704,160529,7,4,23,0
53,4100000,1235222,1178069,2,3,12,0
56,5450000,1155518,749814,6,6,27,0
38,6100000,1510246,740921,6,0,15,1
40,6100000,3457110,1217130,7,1,4,1
48,2450000,805102,499579,2,0,26,1
55,3300000,1462730,665407,1,4,9,0
58,1850000,714110,346566,4,4,29,0
18,7200000,2593299,2152533,4,6,11,1
49,4700000,1939945,927103,3,3,26,0
23,7100000,1951758,1388684,7,1,16,1
31,7400000,4406267,1364213,7,3,14,1
57,8650000,4561345,980608,2,0,9,1
30,6900000,3426856,1508280,7,4,25,0
56,8050000,3119404,1172028,2,4,1,0
40,7350000,1919458,1672285,3,6,14,0
29,8100000,4602957,892350,0,2,11,1
34,7700000,2591472,2281336,3,2,16,1
43,4300000,946183,833344,8,0,7,1
54,3550000,1196213,991696,3,2,20,1
47,9600000,4970714,1873077,6,3,11,0
62,4600000,2065784,515504,0,5,5,1
59,6950000,3477331,1837876,5,5,6,0
54,3000000,1552362,688910,3,0,21,1
46,5600000,1594778,1435567,6,1,8,1
31,6700000,3815739,1243747,8,3,9,0
37,7800000,2926527,1775181,4,2,19,1
23,6650000,3029776,1803784,0,0,10,1
35,4800000,964432,1085822,4,5,12,0
62,11550000,6899362,1958126,1,5,7,0
38,6500000,2030330,1511288,4,3,10,1
